key,version,date_to,date_from,ano,numero,subempenho,indicador_subempenho,cod_modalidade_empenho,codigo,nome
127,1,"2038-01-01 03:00:00","1970-01-01 03:00:00",2021,163,86,x,0,126,"SEM TIPO INFORMADO"
128,1,"2038-01-01 03:00:00","1970-01-01 03:00:00",2021,164,81,x,0,127,"SEM TIPO INFORMADO"
129,1,"2038-01-01 03:00:00","1970-01-01 03:00:00",2021,164,90,x,0,128,"SEM TIPO INFORMADO"
130,1,"2038-01-01 03:00:00","1970-01-01 03:00:00",2021,165,87,x,0,129,"SEM TIPO INFORMADO"
131,1,"2038-01-01 03:00:00","1970-01-01 03:00:00",2021,165,88,x,0,130,"SEM TIPO INFORMADO"
132,1,"2038-01-01 03:00:00","1970-01-01 03:00:00",2021,165,89,x,0,131,"SEM TIPO INFORMADO"
133,1,"2038-01-01 03:00:00","1970-01-01 03:00:00",2021,165,90,x,0,132,"SEM TIPO INFORMADO"
134,1,"2038-01-01 03:00:00","1970-01-01 03:00:00",2021,165,92,x,0,133,"SEM TIPO INFORMADO"
135,1,"2038-01-01 03:00:00","1970-01-01 03:00:00",2021,166,83,x,0,134,"SEM TIPO INFORMADO"
136,1,"2038-01-01 03:00:00","1970-01-01 03:00:00",2021,166,84,x,0,135,"SEM TIPO INFORMADO"
137,1,"2038-01-01 03:00:00","1970-01-01 03:00:00",2021,166,85,x,0,136,"SEM TIPO INFORMADO"
138,1,"2038-01-01 03:00:00","1970-01-01 03:00:00",2021,167,86,x,0,137,"SEM TIPO INFORMADO"
139,1,"2038-01-01 03:00:00","1970-01-01 03:00:00",2021,167,88,x,0,138,"SEM TIPO INFORMADO"
140,1,"2038-01-01 03:00:00","1970-01-01 03:00:00",2021,168,81,x,0,139,"SEM TIPO INFORMADO"
141,1,"2038-01-01 03:00:00","1970-01-01 03:00:00",2021,168,86,x,0,140,"SEM TIPO INFORMADO"
142,1,"2038-01-01 03:00:00","1970-01-01 03:00:00",2021,168,88,x,0,141,"SEM TIPO INFORMADO"
143,1,"2038-01-01 03:00:00","1970-01-01 03:00:00",2021,169,85,x,0,142,"SEM TIPO INFORMADO"
144,1,"2038-01-01 03:00:00","1970-01-01 03:00:00",2021,169,86,x,0,143,"SEM TIPO INFORMADO"
145,1,"2038-01-01 03:00:00","1970-01-01 03:00:00",2021,170,82,x,0,144,"SEM TIPO INFORMADO"
146,1,"2038-01-01 03:00:00","1970-01-01 03:00:00",2021,170,87,x,0,145,"SEM TIPO INFORMADO"
147,1,"2038-01-01 03:00:00","1970-01-01 03:00:00",2021,170,89,x,0,146,"SEM TIPO INFORMADO"
148,1,"2038-01-01 03:00:00","1970-01-01 03:00:00",2021,174,87,x,0,147,"SEM TIPO INFORMADO"
149,1,"2038-01-01 03:00:00","1970-01-01 03:00:00",2021,174,90,x,0,148,"SEM TIPO INFORMADO"
150,1,"2038-01-01 03:00:00","1970-01-01 03:00:00",2021,175,86,x,0,149,"SEM TIPO INFORMADO"
151,1,"2038-01-01 03:00:00","1970-01-01 03:00:00",2021,176,82,x,0,150,"SEM TIPO INFORMADO"
152,1,"2038-01-01 03:00:00","1970-01-01 03:00:00",2021,176,83,x,0,151,"SEM TIPO INFORMADO"
153,1,"2038-01-01 03:00:00","1970-01-01 03:00:00",2021,178,83,x,0,152,"SEM TIPO INFORMADO"
154,1,"2038-01-01 03:00:00","1970-01-01 03:00:00",2021,178,84,x,0,153,"SEM TIPO INFORMADO"
155,1,"2038-01-01 03:00:00","1970-01-01 03:00:00",2021,178,90,x,0,154,"SEM TIPO INFORMADO"
156,1,"2038-01-01 03:00:00","1970-01-01 03:00:00",2021,178,91,x,0,155,"SEM TIPO INFORMADO"
157,1,"2038-01-01 03:00:00","1970-01-01 03:00:00",2021,179,81,x,0,156,"SEM TIPO INFORMADO"
158,1,"2038-01-01 03:00:00","1970-01-01 03:00:00",2021,179,82,x,0,157,"SEM TIPO INFORMADO"
159,1,"2038-01-01 03:00:00","1970-01-01 03:00:00",2021,179,84,x,0,158,"SEM TIPO INFORMADO"
160,1,"2038-01-01 03:00:00","1970-01-01 03:00:00",2021,181,85,x,0,159,"SEM TIPO INFORMADO"
161,1,"2038-01-01 03:00:00","1970-01-01 03:00:00",2021,181,89,x,0,160,"SEM TIPO INFORMADO"
162,1,"2038-01-01 03:00:00","1970-01-01 03:00:00",2021,181,90,x,0,161,"SEM TIPO INFORMADO"
163,1,"2038-01-01 03:00:00","1970-01-01 03:00:00",2021,183,84,x,0,162,"SEM TIPO INFORMADO"
164,1,"2038-01-01 03:00:00","1970-01-01 03:00:00",2021,183,85,x,0,163,"SEM TIPO INFORMADO"
165,1,"2038-01-01 03:00:00","1970-01-01 03:00:00",2021,183,88,x,0,164,"SEM TIPO INFORMADO"
166,1,"2038-01-01 03:00:00","1970-01-01 03:00:00",2021,183,89,x,0,165,"SEM TIPO INFORMADO"
167,1,"2038-01-01 03:00:00","1970-01-01 03:00:00",2021,183,91,x,0,166,"SEM TIPO INFORMADO"
168,1,"2038-01-01 03:00:00","1970-01-01 03:00:00",2021,183,92,x,0,167,"SEM TIPO INFORMADO"
169,1,"2038-01-01 03:00:00","1970-01-01 03:00:00",2021,189,88,x,0,168,"SEM TIPO INFORMADO"
170,1,"2038-01-01 03:00:00","1970-01-01 03:00:00",2021,189,91,x,0,169,"SEM TIPO INFORMADO"
171,1,"2038-01-01 03:00:00","1970-01-01 03:00:00",2021,201,85,x,0,170,"SEM TIPO INFORMADO"
172,1,"2038-01-01 03:00:00","1970-01-01 03:00:00",2021,201,86,x,0,171,"SEM TIPO INFORMADO"
173,1,"2038-01-01 03:00:00","1970-01-01 03:00:00",2021,201,88,x,0,172,"SEM TIPO INFORMADO"
174,1,"2038-01-01 03:00:00","1970-01-01 03:00:00",2021,202,83,x,0,173,"SEM TIPO INFORMADO"
175,1,"2038-01-01 03:00:00","1970-01-01 03:00:00",2021,202,89,x,0,174,"SEM TIPO INFORMADO"
176,1,"2038-01-01 03:00:00","1970-01-01 03:00:00",2021,204,81,x,0,175,"SEM TIPO INFORMADO"
177,1,"2038-01-01 03:00:00","1970-01-01 03:00:00",2021,206,81,x,0,176,"SEM TIPO INFORMADO"
178,1,"2038-01-01 03:00:00","1970-01-01 03:00:00",2021,207,83,x,0,177,"SEM TIPO INFORMADO"
179,1,"2038-01-01 03:00:00","1970-01-01 03:00:00",2021,208,83,x,0,178,"SEM TIPO INFORMADO"
180,1,"2038-01-01 03:00:00","1970-01-01 03:00:00",2021,208,85,x,0,179,"SEM TIPO INFORMADO"
181,1,"2038-01-01 03:00:00","1970-01-01 03:00:00",2021,208,88,x,0,180,"SEM TIPO INFORMADO"
182,1,"2038-01-01 03:00:00","1970-01-01 03:00:00",2021,208,89,x,0,181,"SEM TIPO INFORMADO"
183,1,"2038-01-01 03:00:00","1970-01-01 03:00:00",2021,208,90,x,0,182,"SEM TIPO INFORMADO"
184,1,"2038-01-01 03:00:00","1970-01-01 03:00:00",2021,213,81,x,0,183,"SEM TIPO INFORMADO"
185,1,"2038-01-01 03:00:00","1970-01-01 03:00:00",2021,213,90,x,0,184,"SEM TIPO INFORMADO"
186,1,"2038-01-01 03:00:00","1970-01-01 03:00:00",2021,213,92,x,0,185,"SEM TIPO INFORMADO"
187,1,"2038-01-01 03:00:00","1970-01-01 03:00:00",2021,214,86,x,0,186,"SEM TIPO INFORMADO"
188,1,"2038-01-01 03:00:00","1970-01-01 03:00:00",2021,214,88,x,0,187,"SEM TIPO INFORMADO"
189,1,"2038-01-01 03:00:00","1970-01-01 03:00:00",2021,215,89,x,0,188,"SEM TIPO INFORMADO"
190,1,"2038-01-01 03:00:00","1970-01-01 03:00:00",2021,217,84,x,0,189,"SEM TIPO INFORMADO"
191,1,"2038-01-01 03:00:00","1970-01-01 03:00:00",2021,217,88,x,0,190,"SEM TIPO INFORMADO"
192,1,"2038-01-01 03:00:00","1970-01-01 03:00:00",2021,217,91,x,0,191,"SEM TIPO INFORMADO"
193,1,"2038-01-01 03:00:00","1970-01-01 03:00:00",2021,218,87,x,0,192,"SEM TIPO INFORMADO"
194,1,"2038-01-01 03:00:00","1970-01-01 03:00:00",2021,218,89,x,0,193,"SEM TIPO INFORMADO"
195,1,"2038-01-01 03:00:00","1970-01-01 03:00:00",2021,220,86,x,0,194,"SEM TIPO INFORMADO"
